itemCode,Abbrev,itemValue,itemValueEN
707,พ.ต.ต.ม.ร.ว.,พันตำรวจตรีหม่อมราชวงศ์,
708,พ.ต.ท.ม.ร.ว.,พันตำรวจโทหม่อมราชวงศ์,
709,พ.ต.อ.ม.ร.ว.,พันตำรวจเอกหม่อมราชวงศ์,
710,ร.ต.อ.ม.ร.ว.,ร้อยตำรวจเอกหม่อมราชวงศ์,
711,ส.ต.อ.ม.ล.,สิบตำรวจเอกหม่อมหลวง,
712,พ.ต.อ.ม.ล.,พันตำรวจเอกหม่อมหลวง,
713,พ.ต.ท.ม.ล.,พันตำรวจโทหม่อมหลวง,
714,นรต.ม.ล.,นักเรียนนายร้อยตำรวจหม่อมหลวง,
715,ร.ต.ท.ม.ล.,ร้อยตำรวจโทหม่อมหลวง,
716,ด.ต.ม.ล.,นายดาบตำรวจหม่อมหลวง,
717,พ.ต.ต.ม.ล.,พันตำรวจตรีหม่อมหลวง,
718,ศจ.น.พ.พ.ต.อ.,ศาสตราจารย์นายแพทย์พันตำรวจเอก,
719,พ.ต.ท.น.พ.,พันตำรวจโทนายแพทย์,
720,ร.ต.ท.น.พ.,ร้อยตำรวจโทนายแพทย์,
721,ร.ต.อ.น.พ.,ร้อยตำรวจเอกนายแพทย์,
722,พ.ต.ต.นพ.,พันตำรวจตรีนายแพทย์,
723,พ.ต.อ.น.พ.,พันตำรวจเอกนายแพทย์,
724,พ.ต.ต.หลวง,พันตำรวจตรีหลวง,
725,ร.ต.ท.ดร.,ร้อยตำรวจโทดอกเตอร์,
726,พ.ต.อ.ดร.,พันตำรวจเอกดอกเตอร์,
727,ร.ต.อ.ม.ล.,ร้อยตำรวจเอกหม่อมหลวง,
729,พ.ต.อ.หญิง ท่านผู้หญิง,พันตำรวจเอกหญิง ท่านผู้หญิง,
730,พล.ต.ต.ม.ล.,พลตำรวจตรีหม่อมหลวง,
731,พล.ต.หญิง คุณหญิง,พลตรีหญิง คุณหญิง,
732,ว่าที่ ส.อ.,ว่าที่สิบเอก,
733,พล.ต.อ.ดร.,พลตำรวจเอกดอกเตอร์,
800,สมเด็จพระสังฆราชเจ้า,สมเด็จพระสังฆราชเจ้า,
801,สมเด็จพระสังฆราช,สมเด็จพระสังฆราช,
802,สมเด็จพระราชาคณะ,สมเด็จพระราชาคณะ,
803,รองสมเด็จพระราชาคณะ,รองสมเด็จพระราชาคณะ,
804,พระราชาคณะ,พระราชาคณะ,
805,พระเปรียญธรรม,พระเปรียญธรรม,
806,พระหิรัญยบัฏ,พระหิรัญยบัฏ,
807,พระสัญญาบัตร,พระสัญญาบัตร,
808,พระราช,พระราช,
809,พระเทพ,พระเทพ,
810,พระปลัดขวา,พระปลัดขวา,
811,พระปลัดซ้าย,พระปลัดซ้าย,
812,พระครูปลัด,พระครูปลัด,
813,พระครูปลัดสุวัฒนญาณคุณ,พระครูปลัดสุวัฒนญาณคุณ,
814,พระครูปลัดอาจารย์วัฒน์,พระครูปลัดอาจารย์วัฒน์,
815,พระครูปลัดวิมลสิริวัฒน์,พระครูวิมลสิริวัฒน์,
816,พระสมุห์,พระสมุห์,
817,พระครูสมุห์,พระครูสมุห์,
818,พระครู,พระครู,
819,พระครูใบฎีกา,พระครูใบฎีกา,
820,พระครูธรรมธร,พระครูธรรมธร,
821,พระครูวิมลภาณ,พระครูวิมลภาณ,
822,พระครูศัพทมงคล,พระครูศัพทมงคล,
823,พระครูสังฆภารวิชัย,พระครูสังฆภารวิชัย,
824,พระครูสังฆรักษ์,พระครูสังฆรักษ์,
825,พระครูสังฆวิชัย,พระครูสังฆวิชัย,
826,พระครูสังฆวิชิต,พระครูสังฆวิชิต,
827,พระปิฎก,พระปิฎก,
828,พระปริยัติ,พระปริยัติ,
829,เจ้าอธิการ,เจ้าอธิการ,
830,พระอธิการ,พระอธิการ,
831,พระ,พระ,
832,ส.ณ.,สามเณร,
833,พระปลัด,พระปลัด,
834,สมเด็จพระอริยวงศาคตญาณ,สมเด็จพระอริยวงศาคตญาณ,
835,พระคาร์ดินัล,พระคาร์ดินัล,
836,พระสังฆราช,พระสังฆราช,
837,พระคุณเจ้า,พระคุณเจ้า,
838,บาทหลวง,บาทหลวง,
839,พระมหา,พระมหา,
840,พระราชปัญญา,พระราชปัญญา,
841,ภาราดา,ภาราดา,
842,พระศรีปริยัติธาดา,พระศรีปริยัติธาดา,
843,พระญาณโศภณ,พระญาณโศภณ,
844,สมเด็จพระมหาวีรวงศ์,สมเด็จพระมหาวีรวงศ์,
845,พระโสภณธรรมาภรณ์,พระโสภณธรรมาภรณ์,
846,พระวิริวัฒน์วิสุทธิ์,พระวิริวัฒน์วิสุทธิ์,
847,พระญาณ,พระญาณ,
848,พระอัครสังฆราช,พระอัครสังฆราช,
849,พระธรรม,พระธรรม,
850,พระสาสนโสภณ,พระสาสนโสภณ,
851,พระธรรมโสภณ,พระธรรมโสภณ,
852,พระอุดมสารโสภณ,พระอุดมสารโสภณ,
853,พระครูวิมลญาณโสภณ,พระครูวิมลญาณโสภณ,
854,พระครูปัญญาภรณโสภณ,พระครูปัญญาภรณโสภณ,
855,พระครูโสภณปริยัติคุณ,พระครูโสภณปริยัติคุณ,
856,พระอธิธรรม,พระอธิธรรม,
857,พระราชญาณ,พระราชญาณ,
858,พระสุธีวัชโรดม,พระสุธีวัชโรดม,
859,รองเจ้าอธิการ,รองเจ้าอธิการ,
860,พระครูวินัยธร,พระครูวินัยธร,
861,พระศรีวชิราภรณ์,พระศรีวชิราภรณ์,
862,พระราชบัณฑิต,พระราชบัณฑิต,
863,แม่ชี,แม่ชี,
864,นักบวช,นักบวช,
865,พระรัตน,พระรัตน,
866,พระโสภณปริยัติธรรม,พระโสภณปริยัติธรรม,
867,พระครูวิศาลปัญญาคุณ,พระครูวิศาลปัญญาคุณ,
868,พระศรีปริยัติโมลี,พระศรีปริยัติโมลี,
869,พระครูวัชรสีลาภรณ์,พระครูวัชรสีลาภรณ์,
870,พระครูพิพัฒน์บรรณกิจ,พระครูพิพัฒน์บรรณกิจ,
871,พระครูวิบูลธรรมกิจ,พระครูวิบูลธรรมกิจ,
872,พระครูพัฒนสารคุณ,พระครูพัฒนสารคุณ,
873,พระครูสุวรรณพัฒนคุณ,พระครูสุวรรณพัฒนคุณ,
874,พระครูพรหมวีรสุนทร,พระครูพรหมวีรสุนทร,
875,พระครูอุปถัมภ์นันทกิจ,พระครูอุปถัมภ์นันทกิจ,
876,พระครูวิจารณ์สังฆกิจ,พระครูวิจารณ์สังฆกิจ,
877,พระครูวิมลสารวิสุทธิ์,พระครูวิมลสารวิสุทธิ์,
878,พระครูไพศาลศุภกิจ,พระครูไพศาลศุภกิจ,
879,พระครูโอภาสธรรมพิมล,พระครูโอภาสธรรมพิมล,
880,พระครูพิพิธวรคุณ,พระครูพิพิธวรคุณ,
881,พระครูสุนทรปภากร,พระครูสุนทรปภากร,
882,พระครูสิริชัยสถิต,พระครูสิริชัยสถิต,
883,พระครูเกษมธรรมานันท์,พระครูเกษมธรรมานันท์,
884,พระครูถาวรสันติคุณ,พระครูถาวรสันติคุณ,
885,พระครูวิสุทธาจารวิมล,พระครูวิสุทธาจารวิมล,
886,พระครูปภัสสราธิคุณ,พระครูปภัสสราธิคุณ,
887,พระครูวรสังฆกิจ,พระครูวรสังฆกิจ,
888,พระครูไพบูลชัยสิทธิ์,พระครูไพบูลชัยสิทธิ์,
889,พระครูโกวิทธรรมโสภณ,พระครูโกวิทธรรมโสภณ,
890,พระครูสุพจน์วราภรณ์,พระครูสุพจน์วราภรณ์,
891,พระครูไพโรจน์อริญชัย,พระครูไพโรจน์อริญชัย,
892,พระครูสุนทรคณาภิรักษ์,พระครูสุนทรคณาภิรักษ์,
893,พระสรภาณโกศล,พระสรภาณโกศล,
894,พระครูประโชติธรรมรัตน์,พระครูประโชติธรรมรัตน์,
895,พระครูจารุธรรมกิตติ์,พระครูจารุธรรมกิตติ์,
896,พระครูพิทักษ์พรหมรังษี,พระครูพิทักษ์พรหมรังษี,
897,พระศรีปริยัติบัณฑิต,พระศรีปริยัติบัณฑิต,
898,พระครูพุทธิธรรมานุศาสน์,พระครูพุทธิธรรมานุศาสน์,
899,พระธรรมเมธาจารย์,พระธรรมเมธาจารย์,
900,พระครูกิตติกาญจนวงศ์,พระครูกิตติกาญจนวงศ์,
901,พระครูปลัดสัมพิพัฒนวิริยาจารย์,พระครูปลัดสัมพิพัฒนวิริยาจารย์,
902,พระครูศีลกันตาภรณ์,พระครูศีลกันตาภรณ์,
903,พระครูประกาศพุทธพากย์,พระครูประกาศพุทธพากย์,
904,พระครูอมรวิสุทธิคุณ,พระครูอมรวิสุทธิคุณ,
905,พระครูสุทัศน์ธรรมาภิรม,พระครูสุทัศน์ธรรมาภิรม,
906,พระครูอุปถัมภ์วชิโรภาส,พระครูอุปถัมภ์วชิโรภาส,
907,พระครูสุนทรสมณคุณ,พระครูสุนทรสมณคุณ,
908,พระพรหมมุนี,พระพรหมมุนี,
909,พระครูสิริคุณารักษ์,พระครูสิริคุณารักษ์,
910,พระครูวิชิตพัฒนคุณ,พระครูวิชิตพัฒนคุณ,
911,พระครูพิบูลโชติธรรม,พระครูพิบูลโชติธรรม,
912,พระพิศาลสารคุณ,พระพิศาลสารคุณ,
913,พระรัตนมงคลวิสุทธ์,พระรัตนมงคลวิสุทธ์,
914,พระครูโสภณคุณานุกูล,พระครูโสภณคุณานุกูล,
915,พระครูผาสุกวิหารการ,พระครูผาสุกวิหารการ,
916,พระครูวชิรวุฒิกร,พระครูวชิรวุฒิกร,
917,พระครูกาญจนยติกิจ,พระครูกาญจนยติกิจ,
918,พระครูบวรรัตนวงศ์,พระครูบวรรัตนวงศ์,
919,พระราชพัชราภรณ์,พระราชพัชราภรณ์,
920,พระครูพิพิธอุดมคุณ,พระครูพิพิธอุดมคุณ,
921,องสุตบทบวร,องสุตบทบวร,
922,พระครูจันทเขมคุณ,พระครูจันทเขมคุณ,
923,พระครูศีลสารวิสุทธิ์,พระครูศีลสารวิสุทธิ์,
924,พระครูสุธรรมโสภิต,พระครูสุธรรมโสภิต,
925,พระครูอุเทศธรรมนิวิฐ,พระครูอุเทศธรรมนิวิฐ,
926,พระครูบรรณวัตร,พระครูบรรณวัตร,
927,พระครูวิสุทธาจาร,พระครูวิสุทธาจาร,
928,พระครูสุนทรวรวัฒน์,พระครูสุนทรวรวัฒน์,
929,พระเทพชลธารมุนี ศรีชลบุราจารย์,พระเทพชลธารมุนี ศรีชลบุราจารย์,
930,พระครูโสภณสมุทรคุณ,พระครูโสภณสมุทรคุณ,
931,พระราชเมธาภรณ์,พระราชเมธาภรณ์,
932,พระครูศรัทธาธรรมโสภณ,พระครูศรัทธาธรรมโสภณ,
933,พระครูสังฆบริรักษ์,พระครูสังฆบริรักษ์,
934,พระมหานายก,พระมหานายก,
935,พระครูโอภาสสมาจาร,พระครูโอภาสสมาจาร,
936,พระครูศรีธวัชคุณาภรณ์,พระครูศรีธวัชคุณาภรณ์,
937,พระครูโสภิตวัชรกิจ,พระครูโสภิตวัชรกิจ,
938,พระราชวชิราภรณ์,พระราชวชิราภรณ์,
939,พระครูสุนทรวรธัช,พระครูสุนทรวรธัช,
940,พระครูอาทรโพธิกิจ,พระครูอาทรโพธิกิจ,
941,พระครูวิบูลกาญจนกิจ,พระครูวิบูลกาญจนกิจ,
942,พระพรหมวชิรญาณ,พระพรหมวชิรญาณ,
943,พระครูสุพจน์วรคุณ,พระครูสุพจน์วรคุณ,
944,พระราชวิมลโมลี,พระราชาวิมลโมลี,
945,พระครูอมรธรรมนายก,พระครูอมรธรรมนายก,
946,พระครูพิศิษฎ์ศาสนการ,พระครูพิศิษฎ์ศาสนการ,
947,พระครูเมธีธรรมานุยุต,พระครูเมธีธรรมานุยุต,
948,พระครูปิยสีลสาร,พระครูปิยสีลสาร,
949,พระครูสถิตบุญวัฒน์,พระครูสถิตบุญวัฒน์,
950,พระครูนิเทศปิยธรรม,พระครูนิเทศปิยธรรม,
951,พระครูวิสุทธิ์กิจจานุกูล,พระครูวิสุทธิ์กิจจานุกูล,
952,พระครูสถิตย์บุญวัฒน์,พระครูสถิตย์บุญวัฒน์,
953,พระครูประโชติธรรมานุกูล,พระครูประโชติธรรมานุกูล,
954,พระเทพญาณกวี,พระเทพญาณกวี,
955,พระครูพิพัฒน์ชินวงศ์,พระครูพิพัฒน์ชินวงศ์,
956,พระครูสมุทรขันตยาภรณ์,พระครูสมุทรขันตยาภรณ์,
957,พระครูภาวนาวรกิจ,พระครูภาวนาวรกิจ,
958,พระครูศรีศาสนคุณ,พระครูศรีศาสนคุณ,
959,พระครูวิบูลย์ธรรมศาสก์,พระครูวิบูลย์ธรรมศาสก์,
